,iso_code,location,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,daily_vaccinations_per_million,daily_people_vaccinated,daily_people_vaccinated_per_hundred,Unnamed: 0,Country Name,Country Code,2020
0,ABW,Aruba,2021-12-28,163537.0,84624.0,78913.0,,93.0,60.0,152.56,78.94,73.62,,560.0,34.0,0.032,0,Aruba,ABW,
1,AFG,Afghanistan,2021-11-27,5228706.0,4397449.0,3566192.0,,4015.0,15991.0,13.13,11.04,8.95,,401.0,16001.0,0.04,2,Afghanistan,AFG,20116137326.0
2,AGO,Angola,2021-12-23,11164918.0,7423668.0,3741250.0,,,44955.0,32.9,21.88,11.03,,1325.0,22178.0,0.065,4,Angola,AGO,58375976293.0
3,ALB,Albania,2021-12-23,2286235.0,1131547.0,1018549.0,136139.0,9865.0,7389.0,79.58,39.39,35.45,4.74,2572.0,2487.0,0.087,5,Albania,ALB,14887629268.0
4,AND,Andorra,2021-12-12,115709.0,56628.0,50551.0,8530.0,1973.0,1326.0,149.58,73.21,65.35,11.03,17142.0,76.0,0.098,6,Andorra,AND,
5,ARE,United Arab Emirates,2021-12-24,22406584.0,9890348.0,9059559.0,3456677.0,29515.0,22862.0,224.27,98.99,90.68,34.6,2288.0,307.0,0.003,8,United Arab Emirates,ARE,358869000000.0
6,ARG,Argentina,2021-12-28,75644660.0,38036381.0,32414222.0,5020870.0,858958.0,252694.0,165.87,83.4,71.07,11.01,5541.0,48152.0,0.106,9,Argentina,ARG,389288000000.0
7,ARM,Armenia,2021-12-26,1626738.0,934028.0,692082.0,628.0,,11444.0,54.81,31.47,23.32,0.02,3856.0,4338.0,0.146,10,Armenia,ARM,12641209802.0
8,ATG,Antigua and Barbuda,2021-12-19,120657.0,62154.0,58503.0,,432.0,94.0,122.21,62.95,59.26,,952.0,26.0,0.026,12,Antigua and Barbuda,ATG,1370281481.0
9,AUS,Australia,2021-12-28,42272089.0,20417817.0,19709450.0,2144822.0,37087.0,88519.0,163.92,79.17,76.43,8.32,3433.0,7716.0,0.03,13,Australia,AUS,1327840000000.0
10,AUT,Austria,2021-12-28,16323415.0,6602962.0,6443122.0,3620635.0,51862.0,36056.0,180.51,73.02,71.25,40.04,3987.0,3634.0,0.04,14,Austria,AUT,433258000000.0
11,AZE,Azerbaijan,2021-12-28,11255847.0,5161039.0,4666161.0,1428647.0,31242.0,22647.0,110.1,50.48,45.64,13.97,2215.0,2338.0,0.023,15,Azerbaijan,AZE,42607176471.0
12,BDI,Burundi,2021-12-23,7543.0,4010.0,3533.0,,47.0,182.0,0.06,0.03,0.03,,15.0,0.0,0.0,16,Burundi,BDI,2841786382.0
13,BEL,Belgium,2021-12-28,21451272.0,8905193.0,8794535.0,4175345.0,51630.0,63109.0,184.41,76.56,75.6,35.89,5425.0,1209.0,0.01,17,Belgium,BEL,521861000000.0
14,BEN,Benin,2021-12-27,1773592.0,1699784.0,1319264.0,,,23970.0,14.24,13.65,10.6,,1925.0,22919.0,0.184,18,Benin,BEN,15651545332.0
