,Country Name,Country Code,2020
0,Aruba,ABW,
1,Africa Eastern and Southern,AFE,918815000000.0
2,Afghanistan,AFG,20116137326.0
3,Africa Western and Central,AFW,784588000000.0
4,Angola,AGO,58375976293.0
5,Albania,ALB,14887629268.0
6,Andorra,AND,
7,Arab World,ARB,2436290000000.0
8,United Arab Emirates,ARE,358869000000.0
9,Argentina,ARG,389288000000.0
10,Armenia,ARM,12641209802.0
11,American Samoa,ASM,709000000.0
12,Antigua and Barbuda,ATG,1370281481.0
13,Australia,AUS,1327840000000.0
14,Austria,AUT,433258000000.0
15,Azerbaijan,AZE,42607176471.0
16,Burundi,BDI,2841786382.0
17,Belgium,BEL,521861000000.0
18,Benin,BEN,15651545332.0
19,Burkina Faso,BFA,17933606353.0
20,Bangladesh,BGD,323057000000.0
21,Bulgaria,BGR,69889347433.0
22,Bahrain,BHR,34729228723.0
23,"Bahamas, The",BHS,9907500000.0
24,Bosnia and Herzegovina,BIH,19946496563.0
25,Belarus,BLR,60258239056.0
26,Belize,BLZ,1636280797.0
27,Bermuda,BMU,6842700000.0
28,Bolivia,BOL,36572764863.0
29,Brazil,BRA,1444730000000.0
30,Barbados,BRB,4418000000.0
31,Brunei Darussalam,BRN,12005825770.0
32,Bhutan,BTN,2315437338.0
33,Botswana,BWA,15061922802.0
34,Central African Republic,CAF,2380087758.0
35,Canada,CAN,1644040000000.0
36,Central Europe and the Baltics,CEB,1653260000000.0
37,Switzerland,CHE,752248000000.0
38,Channel Islands,CHI,
39,Chile,CHL,252940000000.0
40,China,CHN,14722700000000.0
41,Cote d'Ivoire,CIV,61348579465.0
42,Cameroon,CMR,40804449726.0
43,"Congo, Dem. Rep.",COD,48716960860.0
44,"Congo, Rep.",COG,10187122341.0
45,Colombia,COL,271438000000.0
46,Comoros,COM,1235400352.0
47,Cabo Verde,CPV,1703698677.0
48,Costa Rica,CRI,61846895121.0
49,Caribbean small states,CSS,66039332389.0
50,Cuba,CUB,107352000000.0
51,Curacao,CUW,2595821709.0
52,Cayman Islands,CYM,5591623665.0
53,Cyprus,CYP,24612646488.0
54,Czech Republic,CZE,245349000000.0
55,Germany,DEU,3846410000000.0
56,Djibouti,DJI,3384385217.0
57,Dominica,DMA,504214814.8
58,Denmark,DNK,356085000000.0
59,Dominican Republic,DOM,78844702329.0
60,Algeria,DZA,145009000000.0
61,East Asia & Pacific (excluding high income),EAP,17448900000000.0
62,Early-demographic dividend,EAR,10668200000000.0
63,East Asia & Pacific,EAS,27097400000000.0
64,Europe & Central Asia (excluding high income),ECA,3222400000000.0
65,Europe & Central Asia,ECS,22126800000000.0
66,Ecuador,ECU,98808010000.0
67,"Egypt, Arab Rep.",EGY,365253000000.0
68,Euro area,EMU,13021200000000.0
69,Eritrea,ERI,
70,Spain,ESP,1281480000000.0
71,Estonia,EST,30650285472.0
72,Ethiopia,ETH,107645000000.0
73,European Union,EUU,15292100000000.0
74,Fragile and conflict affected situations,FCS,1506270000000.0
75,Finland,FIN,269751000000.0
76,Fiji,FJI,4533883782.0
77,France,FRA,2630320000000.0
78,Faroe Islands,FRO,
79,"Micronesia, Fed. Sts.",FSM,410083600.0
80,Gabon,GAB,15316826192.0
81,United Kingdom,GBR,2764200000000.0
82,Georgia,GEO,15846489611.0
83,Ghana,GHA,68532281806.0
